Clapeyron Database File
c-PR parameters [csvtype = single,sep = ;]
species;Mw;Tc;Pc;L;M;N
methyl p-nitrobenzoate;181.147;772.0;3.00988343e6;0.43606609;0.843072256;2.55119867
isoamyl levulinate;186.251;703.0;2.389283208e6;0.652738572;0.881566556;2.033646928
r236ea~|~1,1,1,2,3,3-hexafluoropropane;152.039419;412.3979343;3.416946173e6;0.171801424;0.829277;2.904074369
2,4'-bipyridine;156.188;812.0;3.767638903e6;0.406646566;0.85802529;2.425560691
1,8-dimethylnaphthalene;156.228;778.0;2.916233962e6;0.356830317;0.85156217;2.52436308
3,4-diethyl-3,4-hexanediol;174.284;697.0;2.516516338e6;0.394336397;0.845124385;2.629044003
3-pyridinecarboxamide;122.127;890.0;5.268748811e6;1.489620595;0.985346806;0.779166248
4'-bromoacetophenone;199.047;748.0;3.368507991e6;0.527964324;0.840028368;1.907694645
perfluoromethylcyclohexane~|~(trifluoromethyl)undecaflurocyclohexane;350.0546443;486.4053145;2.019309091e6;0.469592493;0.789008644;1.646817492
2-methylpiperidine;99.177;598.0;3.9459656e6;0.159069442;0.840641344;2.706037822
isoquinoline;129.162;803.149;5.04763643e6;0.355150083;0.818431949;1.691292532
1-(4-fluorophenyl)ethanone;138.1414032;695.0;3.955212911e6;0.841539166;0.871251284;1.131889044
3,3-dimethyl-1-butene;84.162;477.4;3.015097754e6;1.3851624;0.982434363;0.466738558
perfluoro-1,3-dioxolane~|~2,2,4,4,5,5-hexafluoro-1,3-dioxolane;182.021419;368.07;2.718983667e6;1.08446476;0.975067278;0.738654197
1,1-dimethylethyl phenyl ether;150.221;652.0;3.161691469e6;0.193202813;0.826602198;2.971373633
1,1,1,3,5,5,5-heptamethyltrisiloxane;222.506;553.361;1.480741165e6;0.195846753;0.811839022;3.22265911
2,4,4-trimethylhexane;128.259;573.8;2.1994759e6;0.89587464;0.90037976;0.964030773
2,2,4-trimethylhexane;128.259;573.9;2.352912456e6;0.603911192;0.830921513;1.267215038
2,3-pentanedione;100.117;565.0;3.982750332e6;0.257976834;0.836253305;2.708664432
n-methylnicotinamide;136.154;867.0;4.947802431e6;1.398241646;0.983124457;0.828917641
bicyclo[4.2.0]octane;110.2;626.0;3.704055932e6;1.129511635;0.999815049;0.674381319
1-ethyl-cis-2-methylcyclopentane;112.216;599.0;3.185864906e6;0.553664255;0.834723704;1.256866867
(e)-2,2-dimethyl-3-hexene~|~trans-2,2-dimethyl-3-hexene;112.216;556.9;3.254968312e6;0.267323468;0.827595921;2.125841034
methyl p-fluorobenzoate;154.1404032;678.0;3.476122345e6;0.547865845;0.82601427;1.640238867
cyclobutane, hexafluoro-1,2-bis(trifluoromethyl)-;300.046838;444.0;2.12944605e6;0.518663266;0.816927726;1.601869057
methyltris(trimethylsiloxy)silane;310.687;597.36026;1.210842825e6;0.250351899;0.811868358;3.297903799
